name,image_id,base_info,is_animal_card,is_constellation_card,is_golden_crad,category,price_0,sub_card,star,star_0,star_1,star_2,star_3,star_4,star_5,star_6,star_7,star_8,star_9,star_10,star_11,star_12,star_13,star_14,star_15,star_16,star_M,star_U,skill,skill_0,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,transfer_change,additional_info
阿瑞斯圣神,card_data_index_1_1_4_1,"🟡合成材料：合金水管+天秤座星宿

🟤不转：阿瑞斯神使
🟤能力：前后方分别同时发射4发强力子弹，一共8发

🟠三转：阿瑞斯圣神
🟠能力：前方增加1发子弹

🟣四转：战神·阿瑞斯
🟣能力：后方增加1发子弹。每隔几发射出强力的超级子弹，并且首发即为超级子弹

🔴终转：至尊战神
🔴能力：超级子弹产生3*3十字爆炸效果",FALSE,FALSE,TRUE,管线类/水管类,150,好卡😀,攻击力,14,16,18,20,22,24,28,34,42,58,74,89,108,128,148,168,188,258,387,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,⚔️️子弹数(后+前)：4+4/4+5/5+5/5+5,"😋[食神谱]菲丽水：攻击力提升25%

⭐[金卡援护]攻击力最高提升35

📕[图鉴]收集8张卡片(终转0张)，攻速提升5%

🤔️[附加说明]
1.四转首轮攻击的首发为4倍伤害不过火的超级子弹，后间隔3轮发射1次(即第4n+1(n∈N)轮攻击的首发子弹)
2.四转、终转战神的超级子弹均为替换关系(即用超级子弹替换普通子弹)
3.终转超级子弹对命中者造成7倍伤，同格者造成6倍伤，3*3十字的四角造成3倍伤"
战神·阿瑞斯,card_data_index_1_1_4_2,"🟡合成材料：合金水管+天秤座星宿

🟤不转：阿瑞斯神使
🟤能力：前后方分别同时发射4发强力子弹，一共8发

🟠三转：阿瑞斯圣神
🟠能力：前方增加1发子弹

🟣四转：战神·阿瑞斯
🟣能力：后方增加1发子弹。每隔几发射出强力的超级子弹，并且首发即为超级子弹

🔴终转：至尊战神
🔴能力：超级子弹产生3*3十字爆炸效果",FALSE,FALSE,TRUE,管线类/水管类,150,好卡😀,攻击力,14,16,18,20,22,24,28,34,42,58,74,89,108,128,148,168,188,258,387,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,⚔️️子弹数(后+前)：4+4/4+5/5+5/5+5,"😋[食神谱]菲丽水：攻击力提升25%

⭐[金卡援护]攻击力最高提升35

📕[图鉴]收集8张卡片(终转0张)，攻速提升5%

🤔️[附加说明]
1.四转首轮攻击的首发为4倍伤害不过火的超级子弹，后间隔3轮发射1次(即第4n+1(n∈N)轮攻击的首发子弹)
2.四转、终转战神的超级子弹均为替换关系(即用超级子弹替换普通子弹)
3.终转超级子弹对命中者造成7倍伤，同格者造成6倍伤，3*3十字的四角造成3倍伤"
至尊战神,card_data_index_1_1_4_3,"🟡合成材料：合金水管+天秤座星宿

🟤不转：阿瑞斯神使
🟤能力：前后方分别同时发射4发强力子弹，一共8发

🟠三转：阿瑞斯圣神
🟠能力：前方增加1发子弹

🟣四转：战神·阿瑞斯
🟣能力：后方增加1发子弹。每隔几发射出强力的超级子弹，并且首发即为超级子弹

🔴终转：至尊战神
🔴能力：超级子弹产生3*3十字爆炸效果",FALSE,FALSE,TRUE,管线类/水管类,150,好卡😀,攻击力,14,16,18,20,22,24,28,34,42,58,74,89,108,128,148,168,188,258,387,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,⚔️️子弹数(后+前)：4+4/4+5/5+5/5+5,"😋[食神谱]菲丽水：攻击力提升25%

⭐[金卡援护]攻击力最高提升35

📕[图鉴]收集8张卡片(终转0张)，攻速提升5%

🤔️[附加说明]
1.四转首轮攻击的首发为4倍伤害不过火的超级子弹，后间隔3轮发射1次(即第4n+1(n∈N)轮攻击的首发子弹)
2.四转、终转战神的超级子弹均为替换关系(即用超级子弹替换普通子弹)
3.终转超级子弹对命中者造成7倍伤，同格者造成6倍伤，3*3十字的四角造成3倍伤"
二哈汪,card_data_index_1_1_5_0,"🟤不转：二哈汪
🟤能力：同时分别向正前方和正后方发射2发子弹，共4发子弹

🟠一转：秘银二哈汪
🟠能力：前方增加1发子弹，共5发子弹

🟣二转：金刚二哈汪
🟣能力：前后方各增加1发子弹，共7发子弹",TRUE,FALSE,FALSE,管线类/水管类,125,好卡😀,攻击力,11,13,15,17,19,21,23,27,45,45,60,75,90,110,130,150,175,null,null,攻击间隔,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.8,⚔️️子弹数(后+前)：2+2/2+3/3+4,📕[图鉴]收集10张卡片，攻速提升5%
秘银二哈汪,card_data_index_1_1_5_1,"🟤不转：二哈汪
🟤能力：同时分别向正前方和正后方发射2发子弹，共4发子弹

🟠一转：秘银二哈汪
🟠能力：前方增加1发子弹，共5发子弹

🟣二转：金刚二哈汪
🟣能力：前后方各增加1发子弹，共7发子弹",TRUE,FALSE,FALSE,管线类/水管类,125,好卡😀,攻击力,11,13,15,17,19,21,23,27,45,45,60,75,90,110,130,150,175,null,null,攻击间隔,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.8,⚔️️子弹数(后+前)：2+2/2+3/3+4,📕[图鉴]收集10张卡片，攻速提升5%
金刚二哈汪,card_data_index_1_1_5_2,"🟤不转：二哈汪
🟤能力：同时分别向正前方和正后方发射2发子弹，共4发子弹

🟠一转：秘银二哈汪
🟠能力：前方增加1发子弹，共5发子弹

🟣二转：金刚二哈汪
🟣能力：前后方各增加1发子弹，共7发子弹",TRUE,FALSE,FALSE,管线类/水管类,125,好卡😀,攻击力,11,13,15,17,19,21,23,27,45,45,60,75,90,110,130,150,175,null,null,攻击间隔,1.25,1.2,1.15,1.1,1.05,1,0.95,0.9,0.8,⚔️️子弹数(后+前)：2+2/2+3/3+4,📕[图鉴]收集10张卡片，攻速提升5%
双枪喵,card_data_index_1_1_6_0,"🟤不转：双枪喵
🟤能力：分别向前后两方向射出穿透型子弹

🟠一转：左轮双枪喵
🟠能力：后方增加1发子弹

🟣二转：等离子双枪喵
🟣能力：前方增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,305,好卡😀,攻击力,16,19,22,25,28,31,35,40,50,60,85,110,140,170,200,230,260,null,null,攻击间隔,1.8,1.75,1.7,1.65,1.6,1.55,1.5,1.4,1.3,⚔️️子弹数(后+前)：2+2/3+2/3+3,🪡[穿透]子弹附带穿透效果
左轮双枪喵,card_data_index_1_1_6_1,"🟤不转：双枪喵
🟤能力：分别向前后两方向射出穿透型子弹

🟠一转：左轮双枪喵
🟠能力：后方增加1发子弹

🟣二转：等离子双枪喵
🟣能力：前方增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,305,好卡😀,攻击力,16,19,22,25,28,31,35,40,50,60,85,110,140,170,200,230,260,null,null,攻击间隔,1.8,1.75,1.7,1.65,1.6,1.55,1.5,1.4,1.3,⚔️️子弹数(后+前)：2+2/3+2/3+3,🪡[穿透]子弹附带穿透效果
等离子双枪喵,card_data_index_1_1_6_2,"🟤不转：双枪喵
🟤能力：分别向前后两方向射出穿透型子弹

🟠一转：左轮双枪喵
🟠能力：后方增加1发子弹

🟣二转：等离子双枪喵
🟣能力：前方增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,305,好卡😀,攻击力,16,19,22,25,28,31,35,40,50,60,85,110,140,170,200,230,260,null,null,攻击间隔,1.8,1.75,1.7,1.65,1.6,1.55,1.5,1.4,1.3,⚔️️子弹数(后+前)：2+2/3+2/3+3,🪡[穿透]子弹附带穿透效果
散弹牛,card_data_index_1_1_7_0,"🟤不转：散弹牛
🟤能力：分别向前后左右四方向射出2发子弹

🟠一转：威武散弹牛
🟠能力：攻击力提升20%

🟣二转：霸气散弹牛
🟣能力：每路各增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,195,好卡😀,攻击力,12,14,16,18,20,22,26,32,40,55,70,85,100,120,140,160,185,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,"⚔️️子弹数(每个方向)：2/2/3
⚔️️子弹方向：0°、180°、±90°",无
威武散弹牛,card_data_index_1_1_7_1,"🟤不转：散弹牛
🟤能力：分别向前后左右四方向射出2发子弹

🟠一转：威武散弹牛
🟠能力：攻击力提升20%

🟣二转：霸气散弹牛
🟣能力：每路各增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,195,好卡😀,攻击力,14,16,19,21,24,26,31,38,48,66,84,102,120,144,168,192,222,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,"⚔️️子弹数(每个方向)：2/2/3
⚔️️子弹方向：0°、180°、±90°",无
霸气散弹牛,card_data_index_1_1_7_2,"🟤不转：散弹牛
🟤能力：分别向前后左右四方向射出2发子弹

🟠一转：威武散弹牛
🟠能力：攻击力提升20%

🟣二转：霸气散弹牛
🟣能力：每路各增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,195,好卡😀,攻击力,14,16,19,21,24,26,31,38,48,66,84,102,120,144,168,192,222,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,"⚔️️子弹数(每个方向)：2/2/3
⚔️️子弹方向：0°、180°、±90°",无
威风虎,card_data_index_1_1_8_0,"🟤不转：威风虎
🟤能力：分别向前后左右四方向发射1发穿透子弹

🟠一转：爆气威风虎
🟠能力：攻击力提升

🟣二转：连弩威风虎
🟣能力：每路增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,195,好卡😀,攻击力,12,14,16,18,20,22,26,32,40,55,70,85,100,120,140,160,185,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,"⚔️️子弹数(每个方向)：1/1/2
⚔️️子弹方向：0°、180°、±90°",🪡[穿透]子弹附带穿透效果
爆气威风虎,card_data_index_1_1_8_1,"🟤不转：威风虎
🟤能力：分别向前后左右四方向发射1发穿透子弹

🟠一转：爆气威风虎
🟠能力：攻击力提升

🟣二转：连弩威风虎
🟣能力：每路增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,195,好卡😀,攻击力,19,23,26,29,33,36,42,52,66,90,115,140,165,198,231,264,305,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,"⚔️️子弹数(每个方向)：1/1/2
⚔️️子弹方向：0°、180°、±90°",🪡[穿透]子弹附带穿透效果
连弩威风虎,card_data_index_1_1_8_2,"🟤不转：威风虎
🟤能力：分别向前后左右四方向发射1发穿透子弹

🟠一转：爆气威风虎
🟠能力：攻击力提升

🟣二转：连弩威风虎
🟣能力：每路增加1发子弹",TRUE,FALSE,FALSE,管线类/水管类,195,好卡😀,攻击力,19,23,26,29,33,36,42,52,66,90,115,140,165,198,231,264,305,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,"⚔️️子弹数(每个方向)：1/1/2
⚔️️子弹方向：0°、180°、±90°",🪡[穿透]子弹附带穿透效果
三线酒架,card_data_index_1_2_1_0,"🟤不转：三线酒架
🟤能力：可以同时攻击前方三条线

🟠一转：强力三线酒架
🟠能力：中间增加一发子弹

🟣二转：终结者酒架
🟣能力：两边各增加一发子弹",FALSE,FALSE,FALSE,管线类/三线类,325,好卡😀,攻击力,10,12,14,16,18,20,22,26,32,40,55,70,85,100,115,130,145,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,⚔️️子弹数(一转加中路，二转加侧路)：3/4/6,"😋[食神谱]葡式蛋挞：冷却时间减少1秒
😋[食神谱]葡萄美酒：攻击力提升10%
😋[食神谱]拉菲限量版：攻速提升5%(报废🚫)"
强力三线酒架,card_data_index_1_2_1_1,"🟤不转：三线酒架
🟤能力：可以同时攻击前方三条线

🟠一转：强力三线酒架
🟠能力：中间增加一发子弹

🟣二转：终结者酒架
🟣能力：两边各增加一发子弹",FALSE,FALSE,FALSE,管线类/三线类,325,好卡😀,攻击力,10,12,14,16,18,20,22,26,32,40,55,70,85,100,115,130,145,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,⚔️️子弹数(一转加中路，二转加侧路)：3/4/6,"😋[食神谱]葡式蛋挞：冷却时间减少1秒
😋[食神谱]葡萄美酒：攻击力提升10%
😋[食神谱]拉菲限量版：攻速提升5%(报废🚫)"
终结者酒架,card_data_index_1_2_1_2,"🟤不转：三线酒架
🟤能力：可以同时攻击前方三条线

🟠一转：强力三线酒架
🟠能力：中间增加一发子弹

🟣二转：终结者酒架
🟣能力：两边各增加一发子弹",FALSE,FALSE,FALSE,管线类/三线类,325,好卡😀,攻击力,10,12,14,16,18,20,22,26,32,40,55,70,85,100,115,130,145,null,null,攻击间隔,1.3,1.25,1.2,1.15,1.1,1.05,1,0.9,0.8,⚔️️子弹数(一转加中路，二转加侧路)：3/4/6,"😋[食神谱]葡式蛋挞：冷却时间减少1秒
😋[食神谱]葡萄美酒：攻击力提升10%
😋[食神谱]拉菲限量版：攻速提升5%(报废🚫)"
射手座精灵,card_data_index_1_2_2_0,"🟤不转：射手座精灵
🟤能力：同时向正前方三行发射4发强力箭，中间2发，两边各1发，威力巨大！

🟠一转：射手座战将
🟠能力：能量守恒(不+)

🟣二转：射手座星宿
🟣能力：两边各增加一发子弹",FALSE,TRUE,FALSE,管线类/三线类,300+,好卡😀,攻击力,15,18,21,24,27,30,33,39,48,60,83,105,128,150,172,192,224,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(二转加侧路)：4/4/6,"😋[食神谱]钻石风味香槟：攻击力提升10%，攻速提升5%

📕[图鉴]收集14张卡片，攻速提升10%"
射手座战将,card_data_index_1_2_2_1,"🟤不转：射手座精灵
🟤能力：同时向正前方三行发射4发强力箭，中间2发，两边各1发，威力巨大！

🟠一转：射手座战将
🟠能力：能量守恒(不+)

🟣二转：射手座星宿
🟣能力：两边各增加一发子弹",FALSE,TRUE,FALSE,管线类/三线类,300,好卡😀,攻击力,15,18,21,24,27,30,33,39,48,60,83,105,128,150,172,192,224,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(二转加侧路)：4/4/6,"😋[食神谱]钻石风味香槟：攻击力提升10%，攻速提升5%

📕[图鉴]收集14张卡片，攻速提升10%"
射手座星宿,card_data_index_1_2_2_2,"🟤不转：射手座精灵
🟤能力：同时向正前方三行发射4发强力箭，中间2发，两边各1发，威力巨大！

🟠一转：射手座战将
🟠能力：能量守恒(不+)

🟣二转：射手座星宿
🟣能力：两边各增加一发子弹",FALSE,TRUE,FALSE,管线类/三线类,300,好卡😀,攻击力,15,18,21,24,27,30,33,39,48,60,83,105,128,150,172,192,224,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(二转加侧路)：4/4/6,"😋[食神谱]钻石风味香槟：攻击力提升10%，攻速提升5%

📕[图鉴]收集14张卡片，攻速提升10%"
砰砰鸡,card_data_index_1_2_3_0,"🟤不转：砰砰鸡
🟤能力：可以同时攻击前方三条线

🟠一转：固岩砰砰鸡
🟠能力：中间增加1发子弹

🟣二转：暗殇砰砰鸡
🟣能力：两边各增加1发,子弹威力提升5%",TRUE,FALSE,FALSE,管线类/三线类,225,好卡😀,攻击力,13,16,18,21,23,26,29,34,42,52,72,91,111,130,150,169,194,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(一转加中路，二转加侧路)：3/4/6,📕[图鉴]收集6张卡片，攻速提升10%
固岩砰砰鸡,card_data_index_1_2_3_1,"🟤不转：砰砰鸡
🟤能力：可以同时攻击前方三条线

🟠一转：固岩砰砰鸡
🟠能力：中间增加1发子弹

🟣二转：暗殇砰砰鸡
🟣能力：两边各增加1发,子弹威力提升5%",TRUE,FALSE,FALSE,管线类/三线类,225,好卡😀,攻击力,13,16,18,21,23,26,29,34,42,52,72,91,111,130,150,169,194,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(一转加中路，二转加侧路)：3/4/6,📕[图鉴]收集6张卡片，攻速提升10%
暗殇砰砰鸡,card_data_index_1_2_3_2,"🟤不转：砰砰鸡
🟤能力：可以同时攻击前方三条线

🟠一转：固岩砰砰鸡
🟠能力：中间增加1发子弹

🟣二转：暗殇砰砰鸡
🟣能力：两边各增加1发,子弹威力提升5%",TRUE,FALSE,FALSE,管线类/三线类,225,好卡😀,攻击力,13,16,18,22,24,27,30,35,44,54,75,95,116,136,157,177,203,null,null,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,0.95,⚔️️子弹数(一转加中路，二转加侧路)：3/4/6,📕[图鉴]收集6张卡片，攻速提升10%
丘比特神使,card_data_index_1_2_4_0,"🟡合成材料：终结者酒架+射手座星宿

🟤不转：丘比特神使
🟤能力：向正前方三行分别射出2发子弹，一共6发

🟠三转：丘比特圣神
🟠能力：中路增加1发攻击力50%的子弹

🟣四转：爱神·丘比特
🟣能力：2行侧路各增加1发子弹

🔴终转：至尊爱神
🔴能力：两行侧路间隔发射穿透效果超级子弹",FALSE,FALSE,TRUE,管线类/三线类,300,好卡😀,攻击力,17,20,23,26,29,32,35,41,51,63,87,111,135,158,185,210,235,325,488,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,⚔️️子弹数(三转加中路，四转加侧路)：6/6.5/8.5/8.5,"😋[食神谱]汉帝茅台：攻击力提升20%，攻速提升5%

⭐[金卡援护]攻击力最高提升35

📕[图鉴]收集10张卡片，攻速提升10%

🤔️[附加说明]
1.终转首轮攻击侧路各额外发射(不占用普通子弹)1发3倍伤害穿透不过火的超级子弹，后间隔3轮发射1次(即第4n+1(n∈N)轮攻击)
2.存在边路补偿机制，放在1或7路边路无法发射的超级子弹会转到中路发射
3.三转增加子弹仅50%伤害
4.超级子弹均不可过火
5.爱神不转攻击前摇0.4秒，三转后攻击前摇缩短至0
6.爱神上下贴着布丁类卡片放置会导致侧路子弹无法正常发射"
丘比特圣神,card_data_index_1_2_4_1,"🟡合成材料：终结者酒架+射手座星宿

🟤不转：丘比特神使
🟤能力：向正前方三行分别射出2发子弹，一共6发

🟠三转：丘比特圣神
🟠能力：中路增加1发攻击力50%的子弹

🟣四转：爱神·丘比特
🟣能力：2行侧路各增加1发子弹

🔴终转：至尊爱神
🔴能力：两行侧路间隔发射穿透效果超级子弹",FALSE,FALSE,TRUE,管线类/三线类,300,好卡😀,攻击力,17,20,23,26,29,32,35,41,51,63,87,111,135,158,185,210,235,325,488,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,⚔️️子弹数(三转加中路，四转加侧路)：6/6.5/8.5/8.5,"😋[食神谱]汉帝茅台：攻击力提升20%，攻速提升5%

⭐[金卡援护]攻击力最高提升35

📕[图鉴]收集10张卡片，攻速提升10%

🤔️[附加说明]
1.终转首轮攻击侧路各额外发射(不占用普通子弹)1发3倍伤害穿透不过火的超级子弹，后间隔3轮发射1次(即第4n+1(n∈N)轮攻击)
2.存在边路补偿机制，放在1或7路边路无法发射的超级子弹会转到中路发射
3.三转增加子弹仅50%伤害
4.超级子弹均不可过火
5.爱神不转攻击前摇0.4秒，三转后攻击前摇缩短至0
6.爱神上下贴着布丁类卡片放置会导致侧路子弹无法正常发射"
爱神·丘比特,card_data_index_1_2_4_2,"🟡合成材料：终结者酒架+射手座星宿

🟤不转：丘比特神使
🟤能力：向正前方三行分别射出2发子弹，一共6发

🟠三转：丘比特圣神
🟠能力：中路增加1发攻击力50%的子弹

🟣四转：爱神·丘比特
🟣能力：2行侧路各增加1发子弹

🔴终转：至尊爱神
🔴能力：两行侧路间隔发射穿透效果超级子弹",FALSE,FALSE,TRUE,管线类/三线类,300,好卡😀,攻击力,17,20,23,26,29,32,35,41,51,63,87,111,135,158,185,210,235,325,488,攻击间隔,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1,⚔️️子弹数(三转加中路，四转加侧路)：6/6.5/8.5/8.5,"😋[食神谱]汉帝茅台：攻击力提升20%，攻速提升5%

⭐[金卡援护]攻击力最高提升35

📕[图鉴]收集10张卡片，攻速提升10%

🤔️[附加说明]
1.终转首轮攻击侧路各额外发射(不占用普通子弹)1发3倍伤害穿透不过火的超级子弹，后间隔3轮发射1次(即第4n+1(n∈N)轮攻击)
2.存在边路补偿机制，放在1或7路边路无法发射的超级子弹会转到中路发射
3.三转增加子弹仅50%伤害
4.超级子弹均不可过火
5.爱神不转攻击前摇0.4秒，三转后攻击前摇缩短至0
6.爱神上下贴着布丁类卡片放置会导致侧路子弹无法正常发射"
